region,rajon,title,amount,period,month
РБ,Всего,"Республика Беларусь",6023.2,0,Январь
Витебская,Витебск,Витебск,6116.5,3,Апрель
Витебская,Новополоцк,Новополоцк,7769.9,3,Апрель
Витебская,Бешенковичский,"Бешенковичский район",4382.9,3,Апрель
Витебская,Браславский,"Браславский район",4348.7,3,Апрель
Витебская,Верхнедвинский,"Верхнедвинский район",5317.7,3,Апрель
Витебская,Витебский,"Витебский район",5479.6,3,Апрель
Витебская,Глубокский,"Глубокский район",5359.7,3,Апрель
Витебская,Городокский,"Городокский район",4562.2,3,Апрель
Витебская,Докшицкий,"Докшицкий район",4812.4,3,Апрель
Витебская,Дубровенский,"Дубровенский район",5251.8,3,Апрель
Витебская,Лепельский,"Лепельский район",5117,3,Апрель
Витебская,Лиозненский,"Лиозненский район",4699.6,3,Апрель
Витебская,Миорский,"Миорский район",4508.5,3,Апрель
Витебская,Оршанский,"Оршанский район",5520.4,3,Апрель
Витебская,Полоцкий,"Полоцкий район",5867.4,3,Апрель
Витебская,Поставский,"Поставский район",4779.9,3,Апрель
Витебская,Россонский,"Россонский район",4903.5,3,Апрель
Витебская,Сенненский,"Сенненский район",4765.8,3,Апрель
Витебская,Толочинский,"Толочинский район",5015.6,3,Апрель
Витебская,Ушачский,"Ушачский район",4263.8,3,Апрель
Витебская,Чашникский,"Чашникский район",5647.2,3,Апрель
Витебская,Шарковщинский,"Шарковщинский район",4152.9,3,Апрель
Витебская,Шумилинский,"Шумилинский район",4441.4,3,Апрель
РБ,Всего,"Республика Беларусь",6536.1,3,Апрель
Минская,Жодино,Жодино,6286.1,3,Апрель
Минская,Березинский,"Березинский район",5320.7,3,Апрель
Минская,Борисовский,"Борисовский район",5514.2,3,Апрель
Минская,Вилейский,"Вилейский район",5272.7,3,Апрель
Минская,Воложинский,"Воложинский район",5236.4,3,Апрель
Минская,Дзержинский,"Дзержинский район",7157.7,3,Апрель
Минская,Клецкий,"Клецкий район",5122,3,Апрель
Минская,Копыльский,"Копыльский район",5064.1,3,Апрель
Минская,Крупский,"Крупский район",5615.8,3,Апрель
Минская,Логойский,"Логойский район",5978.5,3,Апрель
Минская,Любанский,"Любанский район",4969.6,3,Апрель
Минская,Минский,"Минский район",8064,3,Апрель
Минская,Молодечненский,"Молодечненский район",5669.7,3,Апрель
Минская,Мядельский,"Мядельский район",5111.4,3,Апрель
Минская,Несвижский,"Несвижский район",6523.4,3,Апрель
Минская,Пуховичский,"Пуховичский район",6018.9,3,Апрель
Минская,Слуцкий,"Слуцкий район",5793,3,Апрель
Минская,Смолевичский,"Смолевичский район",6473.1,3,Апрель
Минская,Солигорский,"Солигорский район",9667.7,3,Апрель
Минская,Стародорожский,"Стародорожский район",5262.9,3,Апрель
Минская,Столбцовский,"Столбцовский район",5679.7,3,Апрель
Минская,Узденский,"Узденский район",5759.9,3,Апрель
Минская,Червенский,"Червенский район",5296.3,3,Апрель
РБ,Всего,"Республика Беларусь",6129.1,1,Февраль
Могилевская,Могилев,Могилев,6314.7,3,Апрель
Могилевская,Бобруйск,Бобруйск,5631,3,Апрель
Могилевская,Белыничский,"Белыничский район",5636.3,3,Апрель
Могилевская,Бобруйский,"Бобруйский район",4728.3,3,Апрель
Могилевская,Быховский,"Быховский район",5009.3,3,Апрель
Могилевская,Глусский,"Глусский район",4732.5,3,Апрель
Могилевская,Горецкий,"Горецкий район",5169.4,3,Апрель
Могилевская,Дрибинский,"Дрибинский район",5144.7,3,Апрель
Могилевская,Кировский,"Кировский район",5054.6,3,Апрель
Могилевская,Климовичский,"Климовичский район",5044,3,Апрель
Могилевская,Кличевский,"Кличевский район",5168,3,Апрель
Могилевская,Костюковичский,"Костюковичский район",5551,3,Апрель
Могилевская,Краснопольский,"Краснопольский район",4795.8,3,Апрель
Могилевская,Кричевский,"Кричевский район",5352.3,3,Апрель
Могилевская,Круглянский,"Круглянский район",5460.8,3,Апрель
Могилевская,Могилевский,"Могилевский район",5950.5,3,Апрель
Могилевская,Мстиславский,"Мстиславский район",4414.3,3,Апрель
Могилевская,Осиповичский,"Осиповичский район",5726,3,Апрель
Могилевская,Славгородский,"Славгородский район",4769.8,3,Апрель
Могилевская,Хотимский,"Хотимский район",4582.8,3,Апрель
Могилевская,Чаусский,"Чаусский район",4794,3,Апрель
Могилевская,Чериковский,"Чериковский район",5073.7,3,Апрель
Могилевская,Шкловский,"Шкловский район",5794.7,3,Апрель
РБ,Всего,"Республика Беларусь",6483.7,2,Март
Гомельская,Гомель,Гомель,6360.3,3,Апрель
Гомельская,Брагинский,"Брагинский район",4899.4,3,Апрель
Гомельская,Буда-Кошелевский,"Буда-Кошелевский район",5103,3,Апрель
Гомельская,Ветковский,"Ветковский район",5026.6,3,Апрель
Гомельская,Гомельский,"Гомельский район",6043.9,3,Апрель
Гомельская,Добрушский,"Добрушский район",4935.3,3,Апрель
Гомельская,Ельский,"Ельский район",5047,3,Апрель
Гомельская,Житковичский,"Житковичский район",4903.3,3,Апрель
Гомельская,Жлобинский,"Жлобинский район",6601.3,3,Апрель
Гомельская,Калинковичский,"Калинковичский район",5560.9,3,Апрель
Гомельская,Кормянский,"Кормянский район",4847.9,3,Апрель
Гомельская,Лельчицкий,"Лельчицкий район",5079.5,3,Апрель
Гомельская,Лоевский,"Лоевский район",4625.7,3,Апрель
Гомельская,Мозырский,"Мозырский район",6896,3,Апрель
Гомельская,Наровлянский,"Наровлянский район",4918.3,3,Апрель
Гомельская,Октябрьский,"Октябрьский район",4758.4,3,Апрель
Гомельская,Петриковский,"Петриковский район",4584.3,3,Апрель
Гомельская,Речицкий,"Речицкий район",6707.7,3,Апрель
Гомельская,Рогачевский,"Рогачевский район",5199.8,3,Апрель
Гомельская,Светлогорский,"Светлогорский район",6030.5,3,Апрель
Гомельская,Хойникский,"Хойникский район",4731.1,3,Апрель
Гомельская,Чечерский,"Чечерский район",5250.8,3,Апрель
Могилевская,Всего,"Могилевская область",5724,3,Апрель
Гродненская,Гродно,Гродно,6599.5,3,Апрель
Гродненская,Берестовицкий,"Берестовицкий район",5677,3,Апрель
