subgroup,amount,period
Всего,6536111,3
Всего,4902706,3
"сельское хозяйство, охота и предоставление услуг в этих областях",4860123,3
животноводство,4775168,3
"лесное хозяйство и предоставление услуг в этой области",5262071,3
"Рыболовство, рыбоводство",4208679,3
Всего,6839756,3
"горнодобывающая промышленность",7951377,3
"добыча топливно-энергетических полезных ископаемых",9092600,3
"добыча угля, лигнита и торфа",4798896,3
"добыча полезных ископаемых, кроме топливно-энергетических",6656060,3
"обрабатывающая промышленность",6674894,3
"производство пищевых продуктов, включая напитки, и табака",6764110,3
"текстильное и швейное производство",4535136,3
"производство кожи, изделий из кожи и производство обуви",4934354,3
"обработка древесины и производство изделий из дерева",5218249,3
"целлюлозно-бумажное производство. Издательская деятельность",6662043,3
"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5592100,3
"издательская деятельность",8834988,3
"полиграфическая деятельность и предоставление услуг в этой области",7192919,3
"производство кокса, нефтепродуктов и ядерных материалов",12420672,3
"химическое производство",11262789,3
"производство резиновых и пластмассовых изделий",6862147,3
"производство прочих неметаллических минеральных продуктов",6326123,3
"производство сборных железобетонных и бетонных конструкций и изделий",6382560,3
"металлургическое производство и производство готовых металлических изделий",7026013,3
"производство машин и оборудования",6160388,3
"производство электрооборудования, электронного и оптического оборудования",6145358,3
"производство офисного оборудования и вычислительной техники",9884151,3
"производство электрических машин и электрооборудования",5645765,3
"производство аппаратуры для радио, телевидения и связи",6264452,3
"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7064534,3
"производство транспортных средств и оборудования",6577522,3
"производство автомобилей, прицепов и полуприцепов",6294225,3
"производство прочих транспортных средств",7865191,3
"прочие отрасли промышленности",5669638,3
"производство мебели и прочей продукции, не включенной в другие группировки",5393947,3
"обработка вторичного сырья",7990935,3
"производство и распределение электроэнергии, газа и воды",7696734,3
"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6341494,3
теплоснабжение,5220128,3
"сбор, очистка и распределение воды",5781650,3
Строительство,7523422,3
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",6349668,3
"торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8202758,3
"оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8616990,3
"розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5707078,3
"ремонт бытовых изделий и предметов личного пользования",4052644,3
"Гостиницы и рестораны",4854280,3
Всего,7518260,3
"деятельность сухопутного транспорта",7450734,3
"деятельность железнодорожного транспорта",7556607,3
"деятельность прочего сухопутного транспорта",6450106,3
"деятельность водного транспорта",4603695,3
"деятельность воздушного транспорта",13564782,3
"деятельность воздушного транспорта, не подчиняющегося расписанию",10410730,3
"вспомогательная и дополнительная транспортная деятельность",6563470,3
"прочая вспомогательная деятельность воздушного транспорта",10201480,3
связь,8328972,3
Всего,11721110,3
"финансовое посредничество",11546881,3
страхование,12655570,3
Всего,9488950,3
"операции с недвижимым имуществом",5257279,3
"аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования",5816425,3
"деятельность, связанная с вычислительной техникой",23440265,3
"научные исследования и разработки",8142332,3
"научные исследования и разработки в области естественных и технических наук",8268331,3
"деятельность по управлению холдинговыми компаниями",10204559,3
"деятельностьв области архитектуры, инженерные услуги",9567665,3
"топографо-геодезическая деятельность",8572083,3
Образование,4828248,3
Всего,5306225,3
"деятельность в области здравоохранения",5507753,3
"предоставление социальных услуг",3931307,3
Всего,5167584,3
"деятельность по организации отдыха и развлечений, культуры и спорта",5157655,3
"деятельность, связанная с кино- и видеофильмами",5103377,3
"деятельность в области радиовещания и телевидения",9124991,3
"Справочно: рабочие и служащие",6574941,3
Всего,6129105,1
Всего,4344284,1
"сельское хозяйство, охота и предоставление услуг в этих областях",4255729,1
животноводство,4375183,1
"лесное хозяйство и предоставление услуг в этой области",5081233,1
"Рыболовство, рыбоводство",4010874,1
Всего,6386555,1
"горнодобывающая промышленность",7654558,1
"добыча топливно-энергетических полезных ископаемых",8848913,1
"добыча угля, лигнита и торфа",4696443,1
"добыча полезных ископаемых, кроме топливно-энергетических",6311748,1
"обрабатывающая промышленность",6319286,1
"производство пищевых продуктов, включая напитки, и табака",6283430,1
"текстильное и швейное производство",4325221,1
"производство кожи, изделий из кожи и производство обуви",4907310,1
"обработка древесины и производство изделий из дерева",5201793,1
"целлюлозно-бумажное производство. Издательская деятельность",6218005,1
"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5308640,1
"издательская деятельность",8277320,1
"полиграфическая деятельность и предоставление услуг в этой области",6440725,1
"производство кокса, нефтепродуктов и ядерных материалов",11185136,1
"химическое производство",9877112,1
"производство резиновых и пластмассовых изделий",6325310,1
"производство прочих неметаллических минеральных продуктов",6015905,1
"производство сборных железобетонных и бетонных конструкций и изделий",6195359,1
"металлургическое производство и производство готовых металлических изделий",6494499,1
"производство машин и оборудования",6193434,1
"производство электрооборудования, электронного и оптического оборудования",5862207,1
"производство офисного оборудования и вычислительной техники",7254137,1
"производство электрических машин и электрооборудования",5351077,1
"производство аппаратуры для радио, телевидения и связи",6061784,1
"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",6757596,1
"производство транспортных средств и оборудования",6471213,1
"производство автомобилей, прицепов и полуприцепов",6368896,1
"производство прочих транспортных средств",6968638,1
"прочие отрасли промышленности",5744403,1
"производство мебели и прочей продукции, не включенной в другие группировки",5580471,1
"обработка вторичного сырья",7185625,1
"производство и распределение электроэнергии, газа и воды",6625363,1
"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",5574390,1
теплоснабжение,5006404,1
"сбор, очистка и распределение воды",5685415,1
Строительство,7002448,1
Всего,5933042,1
"торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",7648537,1
"оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",7999885,1
"розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5354017,1
"ремонт бытовых изделий и предметов личного пользования",3848437,1
"Гостиницы и рестораны",4522647,1
"Транспорт и связь",6929901,1
"деятельность сухопутного транспорта",7007998,1
"деятельность железнодорожного транспорта",7647053,1
"деятельность прочего сухопутного транспорта",5963678,1
"деятельность водного транспорта",4183117,1
"деятельность воздушного транспорта",12033535,1
"деятельность воздушного транспорта, не подчиняющегося расписанию",9311238,1
"вспомогательная и дополнительная транспортная деятельность",5864252,1
"прочая вспомогательная деятельность воздушного транспорта",8632128,1
связь,7444757,1
Всего,10208830,1
"финансовое посредничество",10548464,1
страхование,7877626,1
Всего,10154441,1
"операции с недвижимым имуществом",4913601,1
"аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования",5442788,1
"деятельность, связанная с вычислительной техникой",31379909,1
"научные исследования и разработки",7537049,1
"научные исследования и разработки в области естественных и технических наук",7662246,1
"деятельностьв области архитектуры, инженерные услуги",9150595,1
"топографо-геодезическая деятельность",7777910,1
Образование,4610729,1
Всего,4977148,1
"деятельность в области здравоохранения",5161297,1
"предоставление социальных услуг",3756936,1
Всего,5039427,1
"деятельность по организации отдыха и развлечений, культуры и спорта",5083143,1
"деятельность, связанная с кино- и видеофильмами",4028271,1
"деятельность в области радиовещания и телевидения",8815884,1
"Справочно: рабочие и служащие",6171326,1
Всего,6483703,2
Всего,4758258,2
"сельское хозяйство, охота и предоставление услуг в этих областях",4685789,2
животноводство,4708194,2
"лесное хозяйство и предоставление услуг в этой области",5366860,2
"Рыболовство, рыбоводство",4342623,2
Всего,6770086,2
"горнодобывающая промышленность",7798822,2
"добыча топливно-энергетических полезных ископаемых",9142960,2
"добыча угля, лигнита и торфа",4958200,2
"добыча полезных ископаемых, кроме топливно-энергетических",6285558,2
"обрабатывающая промышленность",6701173,2
"производство пищевых продуктов, включая напитки, и табака",6805509,2
"текстильное и швейное производство",4646892,2
"производство кожи, изделий из кожи и производство обуви",5043991,2
"обработка древесины и производство изделий из дерева",5486350,2
"целлюлозно-бумажное производство. Издательская деятельность",6600566,2
"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5737941,2
"издательская деятельность",8552033,2
"полиграфическая деятельность и предоставление услуг в этой области",6877121,2
"производство кокса, нефтепродуктов и ядерных материалов",12228940,2
"химическое производство",10257224,2
"производство резиновых и пластмассовых изделий",6729328,2
"производство прочих неметаллических минеральных продуктов",6415360,2
"производство сборных железобетонных и бетонных конструкций и изделий",6457269,2
"металлургическое производство и производство готовых металлических изделий",7152132,2
"производство машин и оборудования",6403601,2
"производство электрооборудования, электронного и оптического оборудования",6154258,2
"производство офисного оборудования и вычислительной техники",9849254,2
"производство электрических машин и электрооборудования",5612331,2
"производство аппаратуры для радио, телевидения и связи",6290901,2
"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7159992,2
"производство транспортных средств и оборудования",6795303,2
"производство автомобилей, прицепов и полуприцепов",6544436,2
"производство прочих транспортных средств",7913680,2
"прочие отрасли промышленности",5906006,2
"производство мебели и прочей продукции, не включенной в другие группировки",5677708,2
"обработка вторичного сырья",7864671,2
"производство и распределение электроэнергии, газа и воды",7052031,2
"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6085113,2
теплоснабжение,5648056,2
"сбор, очистка и распределение воды",6306259,2
Строительство,7380044,2
Всего,6390607,2
"торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8151302,2
"оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8429652,2
"розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5798332,2
"ремонт бытовых изделий и предметов личного пользования",4324898,2
"Гостиницы и рестораны",4885822,2
"Транспорт и связь",7212367,2
"деятельность сухопутного транспорта",7131761,2
"деятельность железнодорожного транспорта",7819293,2
"деятельность прочего сухопутного транспорта",6388152,2
"деятельность водного транспорта",4513765,2
"деятельность воздушного транспорта",13156853,2
"деятельность воздушного транспорта, не подчиняющегося расписанию",10210408,2
"вспомогательная и дополнительная транспортная деятельность",6481855,2
"прочая вспомогательная деятельность воздушного транспорта",10713580,2
связь,7878775,2
"Финансовая деятельность",11970760,2
"финансовое посредничество",12470462,2
страхование,8660373,2
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",9460695,2
"операции с недвижимым имуществом",5338396,2
"аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования",4992647,2
"деятельность, связанная с вычислительной техникой",23695272,2
"научные исследования и разработки",7962491,2
"научные исследования и разработки в области естественных и технических наук",8021854,2
"деятельность по управлению холдинговыми компаниями",10194310,2
"деятельность в области архитектуры, инженерные услуги",9340379,2
"топографо-геодезическая деятельность",8287688,2
Образование,4823850,2
Всего,5272107,2
"деятельность в области здравоохранения",5475461,2
"предоставление социальных услуг",3916363,2
Всего,5330338,2
"деятельность по организации отдыха и развлечений, культуры и спорта",5223971,2
"деятельность, связанная с кино- и видеофильмами",4666415,2
"деятельность в области радиовещания и телевидения",9182878,2
"Справочно: рабочие и служащие",6525753,2
Всего,6023213,0
Всего,4462712,0
"сельское хозяйство, охота и предоставление услуг в этих областях",4389639,0
животноводство,4499424,0
"лесное хозяйство и предоставление услуг в этой области",5070788,0
"Рыболовство, рыбоводство",4013498,0
Всего,6256070,0
"горнодобывающая промышленность",7387336,0
"добыча топливно-энергетических полезных ископаемых",8143409,0
"добыча угля, лигнита и торфа",4715387,0
"добыча полезных ископаемых, кроме топливно-энергетических",6509934,0
"обрабатывающая промышленность",6205441,0
"производство пищевых продуктов, включая напитки, и табака",6257448,0
"текстильное и швейное производство",4325203,0
"производство кожи, изделий из кожи и производство обуви",4748411,0
"обработка древесины и производство изделий из дерева",5138692,0
"целлюлозно-бумажное производство. Издательская деятельность",6225126,0
"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5181549,0
"издательская деятельность",8831134,0
"полиграфическая деятельность и предоставление услуг в этой области",6270935,0
"производство кокса, нефтепродуктов и ядерных материалов",11406423,0
"химическое производство",9642259,0
"производство резиновых и пластмассовых изделий",6225838,0
"производство прочих неметаллических минеральных продуктов",6217368,0
"производство сборных железобетонных и бетонных конструкций и изделий",6305027,0
"металлургическое производство и производство готовых металлических изделий",6532210,0
"производство машин и оборудования",5928263,0
"производство электрооборудования, электронного и оптического оборудования",5661336,0
"производство офисного оборудования и вычислительной техники",7356438,0
"производство электрических машин и электрооборудования",5122807,0
"производство аппаратуры для радио, телевидения и связи",5978137,0
"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",6538405,0
"производство транспортных средств и оборудования",5883324,0
"производство автомобилей, прицепов и полуприцепов",5637482,0
"производство прочих транспортных средств",7101774,0
"прочие отрасли промышленности",5640897,0
"производство мебели и прочей продукции, не включенной в другие группировки",5481945,0
"обработка вторичного сырья",7040745,0
"производство и распределение электроэнергии, газа и воды",6415563,0
"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",5508112,0
теплоснабжение,5004303,0
"сбор, очистка и распределение воды",5906056,0
Строительство,7022605,0
Всего,5912653,0
"торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",7377029,0
"оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",7681316,0
"розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5416120,0
"ремонт бытовых изделий и предметов личного пользования",3795613,0
"Гостиницы и рестораны",4605396,0
Всего,6952307,0
"деятельность сухопутного транспорта",6968460,0
"деятельность железнодорожного транспорта",7531662,0
"деятельность прочего сухопутного транспорта",6276655,0
"деятельность водного транспорта",3975116,0
"деятельность воздушного транспорта",14012071,0
"деятельность воздушного транспорта, не подчиняющегося расписанию",11273034,0
"вспомогательная и дополнительная транспортная деятельность",6043065,0
"прочая вспомогательная деятельность воздушного транспорта",9294113,0
связь,7421894,0
Всего,10967174,0
"финансовое посредничество",11512573,0
страхование,7389328,0
Всего,8898829,0
"операции с недвижимым имуществом",5055459,0
"аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования",5044015,0
"деятельность, связанная с вычислительной техникой",23086730,0
"научные исследования и разработки",7328347,0
"научные исследования и разработки в области естественных и технических наук",7439895,0
"деятельностьв области архитектуры, инженерные услуги",8838297,0
"топографо-геодезическая деятельность",7625685,0
Образование,4439260,0
Всего,4828675,0
"деятельность в области здравоохранения",4997097,0
"предоставление социальных услуг",3715417,0
Всего,4978906,0
"деятельность по организации отдыха и развлечений, культуры и спорта",4950569,0
"деятельность, связанная с кино- и видеофильмами",4467808,0
"деятельность в области радиовещания и телевидения",9445679,0
"Справочно: рабочие и служащие",6060950,0
