region,rajon,title,amount,period,month
Минская область,Солигорский,Солигорский район,14857.3,11,Декабрь
Минская область,Солигорский,Солигорский район,10997.3,10,Ноябрь
Минская,Солигорский,Солигорский район,10655.9,7,Август
Минск,Минск,Минск,10462.7,11,Декабрь
Минская,Солигорский,Солигорский район,10408.2,6,Июль
Минская,Солигорский,Солигорский район,10381.1,4,Май
Минская,Солигорский,Солигорский район,10041.4,8,Сентябрь
Минская область,Солигорский,Солигорский район,9840.1,9,Октябрь
Минская,Солигорский,Солигорский район,9667.7,3,Апрель
Минск,Минск,Минск,9398,5,Июнь
Минск,Минск,Минск,9359.2,6,Июль
Минск,Минск,Минск,9321.7,9,Октябрь
Минск,Минск,Минск,9287.8,8,Сентябрь
Минск,Минск,Минск,9256.4,10,Ноябрь
Минск,Минск,Минск,9233.8,7,Август
Минская область,Минский,Минский район,9139.5,11,Декабрь
Минская,Солигорский,Солигорский район,9001.7,5,Июнь
Минск,Минск,Минск,8933.3,2,Март
Минск,Минск,Минск,8932.5,4,Май
Витебская область,Новополоцк,Новополоцк,8847.4,11,Декабрь
Минск,Минск,Минск,8793.1,3,Апрель
Витебская,Новополоцк,Новополоцк,8780.9,6,Июль
Витебская,Новополоцк,Новополоцк,8711.2,5,Июнь
Минская,Минский,Минский район,8647.5,7,Август
Минская,Солигорский,Солигорский район,8635.3,2,Март
Минск,Минск,Минск,8570,1,Февраль
Минская,Минский,Минский район,8553.8,6,Июль
Минская,Минский,Минский район,8495.1,8,Сентябрь
Минская,Солигорский,Солигорский район,8472,1,Февраль
Минская,Минский,Минский район,8465.2,5,Июнь
Минская область,Минский,Минский район,8446.7,9,Октябрь
Витебская,Новополоцк,Новополоцк,8372.1,4,Май
Минская,Солигорский,Солигорский район,8325.9,0,Январь
Минская область,Минский,Минский район,8285,10,Ноябрь
Минская область,Дзержинский,Дзержинский район,8249.3,11,Декабрь
Минск,Минск,Минск,8235.6,0,Январь
Витебская область,Новополоцк,Новополоцк,8203.4,10,Ноябрь
Витебская,Новополоцк,Новополоцк,8185.2,7,Август
Минская,Минский,Минский район,8133.8,4,Май
Витебская,Новополоцк,Новополоцк,8092.8,8,Сентябрь
Витебская область,Новополоцк,Новополоцк,8083,9,Октябрь
Минская,Минский,Минский район,8064,3,Апрель
Минская,Дзержинский,Дзержинский район,7994.6,6,Июль
Минская,Дзержинский,Дзержинский район,7983,7,Август
Гомельская,Речицкий,Речицкий район,7963,7,Август
Минская,Минский,Минский район,7902.1,2,Март
Минская область,Дзержинский,Дзержинский район,7876.7,9,Октябрь
Витебская,Новополоцк,Новополоцк,7769.9,3,Апрель
Минская область,Всего,Минская область,7739.8,11,Декабрь
Минская область,Дзержинский,Дзержинский район,7703.2,10,Ноябрь
Гродненская область,Гродно,Гродно,7677.1,11,Декабрь
Минская,Дзержинский,Дзержинский район,7669.4,5,Июнь
Витебская,Новополоцк,Новополоцк,7638.6,2,Март
Гомельская,Речицкий,Речицкий район,7618.7,6,Июль
Минская,Дзержинский,Дзержинский район,7610.3,8,Сентябрь
Брестская область,Брест,Брест,7561.2,11,Декабрь
Гомельская,Речицкий,Речицкий район,7544.2,8,Сентябрь
Витебская,Новополоцк,Новополоцк,7513.1,1,Февраль
Гомельская область,Речицкий,Речицкий район,7491.3,11,Декабрь
Витебская,Новополоцк,Новополоцк,7464.3,0,Январь
Гомельская область,Речицкий,Речицкий район,7443.4,9,Октябрь
РБ,Всего,Республика Беларусь,7424.1,11,Декабрь
Минская,Дзержинский,Дзержинский район,7420.9,4,Май
Гомельская,Речицкий,Речицкий район,7416.7,5,Июнь
Минская,Минский,Минский район,7412,1,Февраль
Минская,Минский,Минский район,7333.7,0,Январь
Гомельская область,Мозырский,Мозырский район,7261.6,11,Декабрь
Гродненская,Гродно,Гродно,7259.7,6,Июль
Минская,Смолевичский,Смолевичский район,7208.7,7,Август
Гомельская,Жлобинский,Жлобинский район,7176.9,6,Июль
Гомельская,Мозырский,Мозырский район,7171.3,6,Июль
Минская,Дзержинский,Дзержинский район,7157.7,3,Апрель
Минская,Всего,Минская область,7154.2,7,Август
Гродненская,Гродно,Гродно,7126.6,4,Май
Гомельская,Речицкий,Речицкий район,7125.1,4,Май
Гродненская,Гродно,Гродно,7115.1,5,Июнь
Минская область,Жодино,Жодино,7108.5,11,Декабрь
Минская,Дзержинский,Дзержинский район,7102.4,2,Март
Гродненская,Гродно,Гродно,7089.7,7,Август
Гродненская область,Гродно,Гродно,7088.2,9,Октябрь
Гомельская область,Гомель,Гомель,7082.9,11,Декабрь
Минская область,Смолевичский,Смолевичский район,7072,9,Октябрь
Минская,Смолевичский,Смолевичский район,7055.1,6,Июль
Минская область,Смолевичский,Смолевичский район,7049.1,11,Декабрь
Минская,Всего,Минская область,7043.3,6,Июль
Гродненская,Гродно,Гродно,7036.2,8,Сентябрь
Гродненская,Гродненский,Гродненский район,7035.5,7,Август
Минская,Несвижский,Несвижский район,7023.8,7,Август
Могилевская область,Могилев,Могилев,7012.3,11,Декабрь
РБ,Всего,Республика Беларусь,7008.7,6,Июль
РБ,Всего,Республика Беларусь,6970.5,7,Август
Гомельская область,Речицкий,Речицкий район,6943.7,10,Ноябрь
Гродненская область,Гродно,Гродно,6923.5,10,Ноябрь
Гомельская,Мозырский,Мозырский район,6917.8,8,Сентябрь
Гомельская область,Мозырский,Мозырский район,6914,10,Ноябрь
Гомельская,Мозырский,Мозырский район,6896,3,Апрель
Витебская область,Витебск,Витебск,6887.7,11,Декабрь
