group,subgroup,amount,period,month
Всего,Всего,6536111,3,Апрель
"Сельское хозяйство, охота и лесное хозяйство",Всего,4902706,3,Апрель
"Сельское хозяйство, охота и лесное хозяйство","сельское хозяйство, охота и предоставление услуг в этих областях",4860123,3,Апрель
"Сельское хозяйство, охота и лесное хозяйство",животноводство,4775168,3,Апрель
"Сельское хозяйство, охота и лесное хозяйство",лесное хозяйство и предоставление услуг в этой области,5262071,3,Апрель
"Рыболовство, рыбоводство","Рыболовство, рыбоводство",4208679,3,Апрель
Промышленность,Всего,6839756,3,Апрель
Промышленность,горнодобывающая промышленность,7951377,3,Апрель
Промышленность,добыча топливно-энергетических полезных ископаемых,9092600,3,Апрель
Промышленность,"добыча угля, лигнита и торфа",4798896,3,Апрель
Промышленность,"добыча полезных ископаемых, кроме топливно-энергетических",6656060,3,Апрель
Промышленность,обрабатывающая промышленность,6674894,3,Апрель
Промышленность,"производство пищевых продуктов, включая напитки, и табака",6764110,3,Апрель
Промышленность,текстильное и швейное производство,4535136,3,Апрель
Промышленность,"производство кожи, изделий из кожи и производство обуви",4934354,3,Апрель
Промышленность,обработка древесины и производство изделий из дерева,5218249,3,Апрель
Промышленность,целлюлозно-бумажное производство. Издательская деятельность,6662043,3,Апрель
Промышленность,"производство целлюлозы, древесной массы, бумаги, картона и изделий из них",5592100,3,Апрель
Промышленность,издательская деятельность,8834988,3,Апрель
Промышленность,полиграфическая деятельность и предоставление услуг в этой области,7192919,3,Апрель
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",12420672,3,Апрель
Промышленность,химическое производство,11262789,3,Апрель
Промышленность,производство резиновых и пластмассовых изделий,6862147,3,Апрель
Промышленность,производство прочих неметаллических минеральных продуктов,6326123,3,Апрель
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6382560,3,Апрель
Промышленность,металлургическое производство и производство готовых металлических изделий,7026013,3,Апрель
Промышленность,производство машин и оборудования,6160388,3,Апрель
Промышленность,"производство электрооборудования, электронного и оптического оборудования",6145358,3,Апрель
Промышленность,производство офисного оборудования и вычислительной техники,9884151,3,Апрель
Промышленность,производство электрических машин и электрооборудования,5645765,3,Апрель
Промышленность,"производство аппаратуры для радио, телевидения и связи",6264452,3,Апрель
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7064534,3,Апрель
Промышленность,производство транспортных средств и оборудования,6577522,3,Апрель
Промышленность,"производство автомобилей, прицепов и полуприцепов",6294225,3,Апрель
Промышленность,производство прочих транспортных средств,7865191,3,Апрель
Промышленность,прочие отрасли промышленности,5669638,3,Апрель
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",5393947,3,Апрель
Промышленность,обработка вторичного сырья,7990935,3,Апрель
Промышленность,"производство и распределение электроэнергии, газа и воды",7696734,3,Апрель
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6341494,3,Апрель
Промышленность,теплоснабжение,5220128,3,Апрель
Промышленность,"сбор, очистка и распределение воды",5781650,3,Апрель
Строительство,Строительство,7523422,3,Апрель
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",6349668,3,Апрель
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8202758,3,Апрель
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8616990,3,Апрель
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5707078,3,Апрель
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,4052644,3,Апрель
Гостиницы и рестораны,Гостиницы и рестораны,4854280,3,Апрель
Транспорт и связь,Всего,7518260,3,Апрель
Транспорт и связь,деятельность сухопутного транспорта,7450734,3,Апрель
Транспорт и связь,деятельность железнодорожного транспорта,7556607,3,Апрель
